CREATED_AT,BYN,PLN,EUR
2019-03-22,2.112104,3.803704,0.883355
2019-03-23,2.10795,3.79235,0.883355
2019-03-24,2.10795,3.80585,0.885305
2019-03-25,2.114903,3.79251,0.88376
2019-03-26,2.11655,3.80547,0.88697
2019-03-27,2.12915,3.815302,0.88878
2019-03-28,2.13355,3.82575,0.890505
2019-03-29,2.12745,3.837304,0.89035
2019-03-30,2.12745,3.837304,0.89035
2019-03-31,2.12745,3.83245,0.89099
2019-04-01,2.13795,3.83465,0.892435
2019-04-02,2.14345,3.834949,0.892585
2019-04-03,2.14335,3.81655,0.889245
2019-04-04,2.14235,3.82275,0.890981
2019-04-05,2.13875,3.826104,0.89027
2019-04-06,2.13875,3.826104,0.89027
2019-04-07,2.13875,3.82465,0.891499
2019-04-08,2.13765,3.809028,0.88841
2019-04-09,2.125199,3.80345,0.887665
2019-04-10,2.12125,3.795802,0.88683
2019-04-11,2.11565,3.80371,0.88807
2019-04-12,2.103804,3.787504,0.88343
2019-04-13,2.10355,3.77915,0.88343
2019-04-14,2.10355,3.78515,0.88468
2019-04-15,2.102203,3.78135,0.884605
2019-04-16,2.102198,3.786975,0.886155
2019-04-17,2.09365,3.78065,0.885221
2019-04-18,2.09515,3.80785,0.890035
2019-04-19,2.09815,3.807904,0.889165
2019-04-20,2.09815,3.807904,0.889165
2019-04-21,2.09815,3.80645,0.889355
2019-04-22,2.096703,3.80545,0.88821
2019-04-23,2.08595,3.81859,0.89095
2019-04-24,2.10085,3.85205,0.89661
2019-04-25,2.112399,3.8535,0.897955
2019-04-26,2.111904,3.854304,0.89578
2019-04-27,2.106404,3.839804,0.89578
2019-04-28,2.106397,3.85335,0.89687
2019-04-29,2.10825,3.83785,0.89406
2019-04-30,2.10575,3.822104,0.891596
2019-05-01,2.104902,3.82465,0.892825
2019-05-02,2.110405,3.83715,0.895005
2019-05-03,2.11295,3.817404,0.89194
2019-05-04,2.11295,3.817404,0.89194
2019-05-05,2.11295,3.82995,0.894025
2019-05-06,2.10545,3.82425,0.892745
2019-05-07,2.10985,3.83355,0.89365
2019-05-08,2.10915,3.83345,0.893025
2019-05-09,2.109901,3.831802,0.891301
2019-05-10,2.09935,3.824304,0.890035
2019-05-11,2.09935,3.824304,0.890035
2019-05-12,2.09935,3.82675,0.88999
